,superkingdom,phylum,class,order,family,genus,species,taxid
3777,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter aenigmaticus,1743164
3778,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Noviherbaspirillum denitrificans,1968433
3779,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. PC23-8,2012679
3780,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,615
3781,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. FBKL.4005,2015515
3782,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mandelii,75612
3783,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Sandarakinorhabdus,Sandarakinorhabdus cyanobacteriorum,1981098
3784,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax sp. TH121,2022803
3785,Bacteria,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena sp. SR411,1980935
3786,Bacteria,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Ignatzschineriaceae,Wohlfahrtiimonas,Wohlfahrtiimonas chitiniclastica,400946
3787,Bacteria,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Ignatzschineriaceae,Wohlfahrtiimonas,Wohlfahrtiimonas sp. G9077,1980118
3788,Bacteria,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Ignatzschineriaceae,Ignatzschineria,Ignatzschineria sp. F8392,1980117
3789,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella grignonensis,94627
3790,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella rhizosphaerae,571254
3791,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella thiophenivorans,571255
3792,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella pseudogrignonensis,419475
3793,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella lupini,255457
3794,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium PBB6,2015568
3795,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium PBB3,2015565
3796,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium PBB1,2015563
3797,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. PGPPP1,2015553
3798,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,,Comamonadaceae bacterium PBBC1,2015580
3799,Bacteria,Pseudomonadota,Alphaproteobacteria,,,,Alphaproteobacteria bacterium PA4,2015572
3800,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia sp. PBBBR1,2015562
3801,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium PBB2,2015564
3802,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,,Comamonadaceae bacterium PBBC2,2015581
3803,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,,Comamonadaceae bacterium PBBC2,2015581
3804,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,Rhizobiales bacterium PAR1,2015577
3805,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium PBB5,2015567
3806,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium PBB5,2015567
3807,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus sp. 20-54-6,1970384
3808,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas sp. 20-64-9,1970454
3809,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas sp. 20-64-5,1970453
3810,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus sp. 20-53-49,1970383
3811,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,,,Chromatiales bacterium 21-64-14,1970504
3812,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 12-61-10,1970515
3813,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. 12-63-9,1970403
3814,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis sp. 32-58-5,1970317
3815,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alishewanella,Alishewanella sp. 32-51-5,1970315
3816,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides,155892
3817,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,Rhizobiales bacterium 32-66-8,1970550
3818,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 32-62-9,1970531
3819,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas subvibrioides,74313
3820,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas subvibrioides,74313
3821,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. 32-60-15,1970410
3822,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,Rhizobiales bacterium 32-66-11,1970549
3823,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,,,Sphingomonadales bacterium 32-65-25,1970594
3824,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,,,Mehylophilales bacterium 35-46-6,1970535
3825,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. 35-46-11,1970425
3826,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. 35-46-11,1970425
3827,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. 35-64-16,1970312
3828,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas sp. 35-63-35,1970418
3829,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,,,Methylophilales bacterium 28-44-11,1970538
3830,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus sp. 28-55-5,1970386
3831,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium 28-67-8,1970497
3832,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 28-61-11,1970529
3833,Bacteria,Pseudomonadota,Gammaproteobacteria,,,,Gammaproteobacteria bacterium 28-57-27,1970513
3834,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 16-62-9,1970520
3835,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 28-61-23,1970530
3836,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. 28-62-57,1970409
3837,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,,,Sphingomonadales bacterium 28-64-96,1970591
3838,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. 16-46-70,1970421
3839,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,Methylotenera sp. 24-45-7,1970397
3840,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 16-61-112,1970519
3841,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,,,Gallionellales bacterium 24-53-125,1970510
3842,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,Rhizobiales bacterium 24-66-13,1970548
3843,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus sp. 24-54-40,1970385
3844,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. 24-46-87,1970423
3845,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,,Methylophilaceae bacterium 17-44-8,1970534
3846,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,Methylotenera sp. 17-45-7,1970396
3847,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. 17-62-19,1970406
3848,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 17-61-9,1970524
3849,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 17-64-11,1970526
3850,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 17-64-65,1970528
3851,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. 17-46-58,1970422
3852,Bacteria,Pseudomonadota,Hydrogenophilia,Hydrogenophilales,,,Hydrogenophilales bacterium 17-64-34,1970527
3853,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,,,Methylophilales bacterium 39-45-7,1970539
3854,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. 39-46-10,1970428
3855,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. 39-46-10,1970428
3856,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium 39-55-53,1970500
3857,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp. 34-60-7,1970395
3858,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,,,Rhodospirillales bacterium 39-66-50,1970570
3859,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. 34-62-33,1970429
3860,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus sp. 15-55-196,1970382
3861,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alishewanella,Alishewanella sp. 34-51-39,1970316
3862,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas sp. 15-66-11,1970452
3863,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas sp. 15-63-373,1970451
3864,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas sp. 13-66-29,1970448
3865,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,,,Xanthomonadales bacterium 14-68-21,1970612
3866,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas sp. 13-64-67,1970447
3867,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas sp. 14-64-326,1970449
3868,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus sp. 14-55-98,1970380
3869,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus sp. 13-55-115,1970378
3870,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Culicoides newsteadi,1961830
3871,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,Hahella sp. CCB-MM4,1926491
3872,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Hydrocoleum,Hydrocoleum sp. CS-953,1671698
3873,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Bruguierivoracaceae,Sodalis,Sodalis-like symbiont of Philaenus spumarius,1189304
3874,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 9,1416803
3875,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 7,1416805
3876,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 9,1416803
3877,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 7,1416805
3878,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 1,1395607
3879,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 10,1416804
3880,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 10,1416804
3881,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 1,1395607
3882,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 5,1395608
3883,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 5,1395608
3884,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 4,463044
3885,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 11,1416808
3886,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 11,1416808
3887,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 4,463044
3888,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 12,463035
3889,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 12,463035
3890,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 2,1983456
3891,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella genomosp. 2,1983456
3892,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas avellanae,46257
3893,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus seminis,722
3894,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,Gallibacterium anatis,750
3895,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. IB20,1702250
3896,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,61645
3897,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,61645
3898,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,611
3899,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,611
3900,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas boliviensis,1072583
3901,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,296
3902,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas lundensis,86185
3903,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio mixtus,39650
3904,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. NBT06-2,2025950
3905,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella osloensis,34062
3906,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. ERMR1:02,1805930
3907,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. Alain-F2R5,2026341
3908,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio metoecus,1481663
3909,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Candidatus Dactylopiibacterium,Candidatus Dactylopiibacterium carminicum,857335
3910,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella grimontii,2058152
3911,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella grimontii,2058152
3912,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas ureae,44577
3913,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. TLI_55,1938861
3914,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cereibacter,Cereibacter ovatus,439529
3915,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces microflavus,1919
3916,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. LAMO17WK12:I10,1286371
3917,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Arsukibacterium,Arsukibacterium tuosuense,1323745
3918,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudooceanicola,Pseudooceanicola antarcticus,1247613
3919,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter sp. CC120223-11,1378073
3920,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter sp. CC120223-11,1378073
3921,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. URIL14HWK12:I9,1261633
3922,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp. LV10R510-11A,1415568
3923,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. 1331.2,1938835
3924,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,Thalassospira xiamenensis,220697
3925,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Stappia,Stappia indica,538381
3926,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter canadensis,141389
3927,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. LAIL14HWK12:I8,1265485
3928,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas ureae,44577
3929,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax sp. YR752,1884383
3930,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax sp. YR752,1884383
3931,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Enterobacteriaceae bacterium JKS000234,1938870
3932,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosovibrio,Nitrosovibrio sp. Nv4,1945880
3933,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. Ag82_G6-1,1938853
3934,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas wuyuanensis,1073196
3935,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Alysiella,Alysiella filiformis,1120981
3936,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces zhaozhouensis,1300267
3937,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. 1222.2,1938833
3938,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Alysiella,Alysiella filiformis,1120981
3939,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. Ag109_G2-15,1938850
3940,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans,80866
3941,Bacteria,Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Scalinduaceae,Candidatus Scalindua,Candidatus Scalindua japonica,1284222
3942,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas agarivorans,1312369
3943,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas arctica,1117313
3944,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas spongiae,1117319
3945,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas tetraodonis,43659
3946,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium svalbardensis,368607
3947,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Luteimonas chenhongjianii,2006110
3948,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera sp. K11,2005884
3949,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter capsici,435897
3950,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas frederiksbergensis,104087
3951,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,Candidatus Enterovibrio luxaltus,1927128
3952,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea neteri,158822
3953,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea neteri,158822
3954,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii,329
3955,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans,80866
3956,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas beimenensis,475662
3957,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia fonticola,47917
3958,Bacteria,Pseudomonadota,Gammaproteobacteria,,,,Gammaproteobacteria bacterium,1913989
3959,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Vandammella,Vandammella animalimorsus,2029117
3960,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Vandammella,Vandammella animalimorsus,2029117
3961,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Vandammella,Vandammella animalimorsus,2029117
3962,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Vandammella,Vandammella animalimorsus,2029117
3963,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. JB193,2024406
3964,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,562
3965,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. PIC25,1958773
3966,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. PICF141,1949067
3967,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas salipaludis,2032625
3968,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halovibrio,Halovibrio salipaludis,2032626
3969,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. WN033,2032629
3970,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus salipaludis,2032623
3971,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,Arsenophonus sp. ENCA,1987579
3972,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. HAR-UPW-AIA-41,1985301
3973,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia,Hafnia paralvei,546367
3974,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio coralliilyticus,190893
